ISSUE_ID,COMMENT,
LUCENE-7646,"Patch w/ test case, but it does not show the NPE...",
LUCENE-7646,"Mike, thanks for the comments. I didn't notice that when I posted the code like that, it changed the regex from",
LUCENE-7646,I've just tried with 6.4 and it does indeed seem to have been fixed by LUCENE-7576. I'd not realised I was using the API incorrectly. Thanks!,
LUCENE-7646,"Phew, thanks for bringing closure Tom Mortimer!",
LUCENE-7647,"Here is a patch. On the writing side, things are easy since there is a single instance that is used from a single thread and for a short amount of time, so I just made the compressor implement Closeable. However things are a bit more complicated on the reading side because of clones and the fact that we do not close them all. So to keep things simple, I just changed the codec to create Inflater instances on demand.",
LUCENE-7647,What does it do to performance to create a deflater instance every time? This seems very inefficient.,
LUCENE-7647,s/deflater/inflater of course,
LUCENE-7647,"For fetching the top hits I think it is fine anyway, if there is an issue I suspect it would be more with merging. I can try to run luceneutil with this change next week. Do you have ideas to make it more efficient maybe?",
LUCENE-7647,"I think its first important to understand how it impacts performance, including worst cases. That means merging with deletes and lots of results and stuff too: not just best-cases like top hits only. Alternative solutions are possible depending on the impact: e.g. pool managed by the top Decompressor and passed via clone(), and decompress could simply release back to the pool. This is kind of a standard pattern, but of course it adds complexity. We should avoid it if its really not necessary.",
LUCENE-7647,"I ran a merge that cantains 1M documents from the wikipedia benchmark including deleted docs, in order to test the worst case. Here is what the info stream reports about stored fields before/after the change. I think this is either noise a an acceptable slow down. That makes sense since we always decompress about 16K of data. Initialization of the Inflater is likely much less costly than decompressing that amount of data.",
LUCENE-7647,Thanks for running the benchmark!,
LUCENE-7650,Java file for reproducing the error.,
LUCENE-7650,"since Complexphraseqp parses query twice, you need escape it twice. That is.",
LUCENE-7650,"Thanks! That helped. Not an issue anymore for me. I think it would make sense to add to ComplexPhraseQueryParser's javadoc the following comment (or something alike). Special care has to be given when escaping: because some parts of the query might be parsed multiple times, these parts have to be escaped as often.",
LUCENE-7651,"I set to ""critical"", because this also breaks our latest release 6.4, which can't be build from source with Java 8 update 121",
LUCENE-7651,I will try to figure out if moving the Javascript to a separate file helps here. In HTML 5 inline Javascript in HTML files is a no-go.,
LUCENE-7651,"I checked it out, it disallows any <script>, also externally linked ones in the -bottom parameter of Javadocs. This is amajor pain. As adding this special allow-javascript parameter is brekaing builds with older versions and its hard to detect the exact build version in Ant, we have 2 options. 	Remove pretti. 	Inject the prettify code somehow else into the docs (e.g. by copying all script files together and append them to the javadoc-generated JS file after javadoc succeeds).",
LUCENE-7651,"This implements first option. I checked our sources. We allready append the CSS of prettify to Javadocs's main CSS files. As Java 8 contains also a Javadocs-generated scripts.js file, we could do the same here. I am working on that.",
LUCENE-7651,This would be my proposal.,
LUCENE-7651,Sorry last patch had a missing pair of brackets. This fixes it any also works locally. Stupid Javascript! KRRRR!,
LUCENE-7651,"Attached is a patch that also updates Prettify to latest version. The used one produced Javascript errors in Chrome, so I updated. I also removed the useless additional language plugin files.",
LUCENE-7651,"Final updates, I think this is committable. Any suggestions?",
LUCENE-7651,Add correct license header to CSS file.,
LUCENE-7651,"I just checked. The ""hack"" also works with IBM J9, so I see no problem doing this. I was afraid that maybe IBM does not have script.js in the Javadoc output. Nevertheless, this is not risky like the previous hack. If the Javadocs generator no longer produces script.js or stylesheet.css the Code Prettify would just no longer work, but not break Javadocs or build.",
LUCENE-7651,I sent the following message to OpenJDK: http://mail.openjdk.java.net/pipermail/javadoc-dev/2017-January/000281.html,
LUCENE-7651,"I committed this to master and branch_6x. I will now disable all 6.4 branch builds. If we will have a further bugfix release on this branch, we should backport this. Please reopen in that case.",
LUCENE-7651,"Fixed for now, please reopen for every bugfix release on any branch that was not yet updated to use this.",
LUCENE-7651,"BTW, the release notes of Java 8u121 was updated to mention this change: http://www.oracle.com/technetwork/java/javase/8u121-relnotes-3315208.html. It still breaks our previous releases, but we can tell people that its caused by Oracle, not us.",
LUCENE-7651,"I backported this change to Lucene 5.5.4, because otherwise we cannot run the build with Java 8 anymore. The problem is the following: Java 7's Javadocs do not add a ""script.js"" file to the Javadocs output, so this fix injects the javadocs, but because a ""script.js"" is nowhere referenced in the HTML files, prettyprint is not loaded. We have the following possibilities: 	revert this backport commit, but it prevents smoketester from suceeding (as it checks also Java 8). It also makes it impossible to build the 5.5.4 release with Java 8 	add more hacks to inject a script tag into the head element, but that's really complicated as you have to do it in every HTML file! 	ignore the fact that Javadocs do not code-prettyprint correctly anymore in Java 7. The Javadocs are fine, just the code exaples are no longer syntax highlighted. I'd go for the third item. Any comments? If we go this route, I will add a comment to the Changelog that prettyprinting Javadocs is no longer working, if docs are build with Java 7.",
LUCENE-7651,"We don't have access to recent paid only Java 7 JDKs, but as the Javadocs fix was declared a security issue, I assume that it is also applied to Java 7, so without this fix Java 7 paid updates will fail the build, too.",
LUCENE-7652,"Can you also read what the value of LRUQueryCache.ramBytesUsed is? LRUQueryCache has references to current open IndexReaders due to close listeners. I believe you are analysing a heap dump and recursively adding everything that is referenced by your LRUQueryCache while it does not make sense ot take open IndexReaders into account. The keys of LRUQueryCache.cache are instances of SegmentCoreReaders, and I've checked many of the keys, the only reference to them is LRUQueryCache.cache, given LRUQueryCache.cache is an IdentityHashMap, that means you can't even get to them outside of the cache because you can't get a key that's equivalent to one of these in the cache. This indicates that you are leaking index readers. When there are no readers that reference a segment anymore, that segment is closed, which triggers the eviction of all associated entries in the query cache. You should review your usage of Lucene to make sure that there is a call to close() for every index reader that you acquire.",
LUCENE-7652,"Hi Adrien, ramBytesUsed is only ~500KB. Thanks for the info regarding leaking index readers, I'll try to track those down.",
LUCENE-7652,Another possibility is that you are affected by this bug: https://issues.apache.org/jira/browse/LUCENE-7657.,
LUCENE-7652,Closing now as this is either an IndexReader leak from the application side or a duplicate of LUCENE-7657.,
LUCENE-7652,"I have found our application was indeed leaking, we basically have something like. reader was closed after used but dir was never closed, therefore causing this leak. I have not yet verified whether we are impacted by LUCENE-7657.",
LUCENE-7657,"Here is a patch that makes sure the queries returned by Weight.getQuery() do not reference a TermContext. An alternative way to fix the issue would be to remove the reference from TermContext on the reader context, but it is not straightforward. Opinions welcome.",
LUCENE-7657,"I was doing more testing and this patch does not work. We only unset the context in createWeight, so wrapper queries like BooleanQuery or ToParentBlockJoinQuery would still have a reference to the index reader if the wrap a TermQuery that has a TermContext. So I guess the only way would be to remove the reference from TermContext to the index readers.",
LUCENE-7657,Here is a patch that removes the reader context reference from TermContext.,
LUCENE-7657,Clever solution to factor out this Object identity; I wonder if we should fix IndexReader.getXXXCacheKey() similarly ... later!,
LUCENE-7662,Michael McCandless - what do you think of this patch?,
LUCENE-7662,"Thanks Mike Drob; I think this patch looks good, except it makes some tests angry. Maybe we just need to relax that base test case to accept the new CorruptIndexExcpeption as well, and look to its cause to check the exception message? Also, I think it'd be a bit better to use our expectThrows method in the test case, wrapped around the one line where you try to open an index reader, instead of the @Test(expected = ...), which would pass if CorruptIndexException was hit anywhere in that test case?",
LUCENE-7662,"Those are good suggestions, I'll get them into the next version of this patch.  Looking at the code in MockDirectoryWrapper, some of the ""a random IOException"" stuff looks really hackish, especially where we are checking for string messages to match. I'm uncomfortable with how brittle some of that is. We already have FakeIOException available and I think it would be good to use that instead in several places. Do you think we should handle that here, or I can file a new issue for it.",
LUCENE-7662,Updated patch with some test clean up.,
LUCENE-7662,"Thanks Mike Drob, the new patch looks great, and +1 to do that test cleanup here.  I'll push soon!",
LUCENE-7662,Hmm something is still angry.,
LUCENE-7662,"Thanks. That is frustrating. I ran it 10 times and somehow never hit that or a similar seed. When the test uses the compound format, since there is no .doc file to remove, the index doesn't get corrupted and correctly never throws the exception. I couldn't figure out how to disable compound format from the test, so instead we can attempt to delete the doc or the .cfe file. I also made a change to check that we do delete something, otherwise the index would never be corrupt here. Since I can't imagine all possible future index file layouts, this seems prudent.",
LUCENE-7662,Thanks Mike Drob! That is frustrating. I ran it 10 times and somehow never hit that or a similar seed. The joys of randomized tests!  I'll review and push soon...,
LUCENE-7662,Thank you Mike Drob!,
LUCENE-7668,Simple patch; I had to also fix CannedTokenStream to set the canned token type for the test case.,
LUCENE-7668,"Why don't you capture all attributes with captureState and restore them instead of clearAttributes? After that you can change token text and offsets/position. There is a TODO about this in the source code. The problem mentioned here also affects payloads or other attributes like flags, keyword, or the japanese ones. I fixed the same issue in NGramFilters a week ago.",
LUCENE-7668,"Ahh in fact it's already doing the captureState/restoreState here, and so in fact there is no bug!  I wrote the test first, and it was only failing because CannedTokenStream was failing to carry over the type I had asked for. Here's a new patch, just adding the test case, and removing dead code from WDGF. Thanks Uwe Schindler.",
LUCENE-7668,"Hah, thanks for bringing to closure!  Thanks for removing the dead TypeAttribute! Maybe we should fix CannedTokenStream to do what its comment says (captureState/restoreState).",
LUCENE-7668,"Maybe we should fix CannedTokenStream to do what its comment says (captureState/restoreState). I would love to, but I'm not quite sure how to do it.  CannedTokenStream gets an array of Token in ... how can I do a restoreState from a Token?",
LUCENE-7668,"There is one possibility: As CannedTokenStream is a source and owns the attributes, it could use the Token Attributefactory (see the final field on deprecated Token class) in its ctor. Because of this one could use copyTo of Token to copy it into the Token behind all attributes. But as CannedTokenStream only supports the attributes of Token, we could also just ensure all of those are copied. So look which attributes are implemented and use those! Not sure what's the better idea.",
LUCENE-7668,"OK I tried your first idea Uwe Schindler, using Token's attribute factory for CannedTokenStream and then casting the offset attribute to Token and using copyTo.  It seems to work, as crazy as it looks!",
LUCENE-7668,"Looks good! Thanks for adding the comment about the crazyness - I see no better way to do this (without casting)! It is also good that you left the clearAttributes(), because without it, the ""extra"" attributes maybe added by TokenFilters, would not be cleared and then the Asserting* tests would fail.",
LUCENE-7668,Thank you Uwe Schindler!,
LUCENE-7670,"Patch that uses the SearcherManager(Directory,...) ctor instead of the SM(IndexWriter,...) ctor in the case of opening a suggester over an already built index. Committing shortly.",
LUCENE-7674,This particular error means that there is a problem in the way your index is structured since you had at least one segment that did not have a parent doc as a last document. This is wrong because block joins work on blocks of documents that contain 0-n children followed by one parent so the last document is necessarily a parent document.,
LUCENE-7674,Thanks Adrien Grand!  I'm trying to figure out if this an issue on my side (very possible) or if it's a Solr or Lucene issue. All my indexing goes through Solr (via SolrJ) and as far as I can tell I'm not attempting to index any child documents without a corresponding parent document.  I'm not even sure if Solr or SolrJ would allow me to do that. Does it make sense that optimizing the index would cause the problem to go away? I think I was able to snag a copy of the index that was causing problems before the optimized version was able to replicate.  Any suggestions/pointers for trying to track down whatever docs are problematic?  Will running CheckIndex on it tell me anything useful?,
LUCENE-7674,"Tim Underwood, it usually happens when uniqueKey is duplicated, it causes deleting former parent doc. It can be verified with org.apache.lucene.search.join.CheckJoinIndex, although it doesn't have main() method. Adrien Grand, what if will invoke CheckJoinIndex logic lazily somewhere in? It won't cost much as well it should be lazy, but provides more predictable behaviour for users.",
LUCENE-7674,"Thanks Mikhail Khludnev!  Running CheckJoinIndex on my bad index (assuming I got my parentsFilter right) says java.lang.IllegalStateException: Parent doc 3324040 of segment _vfo(6.3.0):C28035360/10475131:delGen=86 is deleted but has a live child document 3323449 Running CheckJoinIndex on the optimized version of the index doesn't complain. So... that leaves me wondering where the bug is.  I am frequently (via Solr) re-indexing parent/child documents that duplicate existing documents based on my unique key field but my understanding is that Solr should automatically delete the old parent and child documents for me.  Maybe thats a bad assumption. It looks like maybe I'm running into one or more of these issues: SOLR-5211, SOLR-5772, SOLR-6096, SOLR-6596, SOLR-6700 Sounds like I should probably just make sure I explicitly delete any old parent/child documents that I'm replacing to be on the safe side.",
LUCENE-7674,I also noticed that I have some deleteByQuery calls that target parents documents but not their children (my assumption being that Solr or Lucene would also delete the corresponding child documents).  Perhaps that is what is causing the orphan child documents.  I'll be sure to explicitly delete those also.,
LUCENE-7674,"LUCENE-7674.patch introduces CheckingQueryBitSetProducer which checks parent segment's bitset before caching and switches {!parent} {!child} to use it. It laid well, beside of, and it's interesting! BJQParserTest.testGrandChildren(). When we have three levels: parent, child, grand-child and searching for children (2nd level), it requires to include all ascendant levels (parent) in bitset. This, will break existing queries for those who run more than two level blocks. But such explicitly strict behavior solves problems for those who tires to retrieve intermediate levels by [child] then, I remember a couple of such threads in the list. What do you think?",
LUCENE-7674,"Tim Underwood, you've got everything right! Thanks for gathering those pet peeves in the list. Here is one more, SOLR-7606 - it's my favorite ones. I need to tackle them sooner or later.",
LUCENE-7674,"Adrien Grand , Uwe Schindler, what's your opinion about CheckingQueryBitsetProducer and restricting multilevel blocks?",
LUCENE-7674,"It feels wrong to me that we enforce these rules at search time, while they should be enforced at index time. I think the true fix to all these block join issues would be to make Solr know queries that describe the parent and child spaces rather than expect users to provide them at search time. Then once it knows that, it could reject update/delete operations that would break the block structure, fail queries that use a parent query that is not one of the expected ones, maybe add a FILTER clause to the child query to restrict it to the child space in case some fields are used at multiple levels, etc.",
LUCENE-7674,"I agree with Adrien. The current block join support in Solr is a desaster, because it was released to early. Just nuke the broken APIs and create a new one, so Solr internally knows from schema/mapping how to block join and also prevent misformed updates. This is also worth a backwards compatibility break! Doing expensive runtime checks on every query just to keep a broken API/implementation is not a good idea. Break hard and come with a better API, the users will still be more happy, trust me. I know so many users who f*ck up the block joins, as Solr does not enforce it correctly. Do the following: 	remove Solr ID fields from child documents (why do we have them? This also makes updates to child documents impossible) 	always hide child documents on ""normal"" queries and return them only with the parent document (like Elasticsearch does) 	automatically add block join queries if fields of the child documents are part of the query 	add some extra queries to specifically search on childs and return childs only (hiding parents, of course) 	if somebody updates a parent document, delete also all childs and create a new block 	hide the block join filter. Solr should have an internal marker field to support block join, which is never exposed",
LUCENE-7674,"Oh.. I've got your point, guys. Thanks. I'd probably raise gsoc ticket and try to scratch backlog.",
LUCENE-7674,+1 to Adrien Uwe's remarks.  It was released too early.,
LUCENE-7674,"Ok. I started to scratch the spec at SOLR-10144. Everybody are welcome. Meanwhile, I tried to reproduce this exact failure to come up with more informative message. But it seems like it's impossible - recently redesigned BlockJoinQuery ignores children behind the last parent in segment.",
LUCENE-7676,looks good. i think the @Test can be dropped from the test case.,
LUCENE-7676,+1 too,
LUCENE-7676,Thank you both for the reviews.,
LUCENE-7679,"Here is a patch that re-organises how MemoryIndex builds its internal field Info structures.  If an IndexableField is passed to addField(), we re-use as many of its FieldType settings as possible. I needed to make FieldInfo.setDocValuesType() public, but that brings it into line with .setPointDimensions() so I don't think it's too bad a change?",
LUCENE-7679,Thanks Martijn,
LUCENE-7682,"I think I know why some of this is going on - in NearSpansOrdered stretchToOrder handles figuring out the effective position length it needs to search over and advances each spans to the relevant distance for a match. The second span is advanced just enough so the first instance of 'feed' matches (which satisfies the query), and matchEnd is set to that ""feed"" occurrence's end position (and matchWidth updated as well), and it stops after that, so NearSpansOrdered effectively does not see that last occurrence of feed when twoPhaseCurrentDocMatches() is called (from getTermToSpans in PhraseHelper).  This first end position of the first ""feed"" occurrence is what's used instead of the last end position within the slop.",
LUCENE-7682,Are you saying then that there seems to be a bug in NearSpansOrdered (and not any highlighter)?  Presumably the original Highlighter WSTE would be affected as well?  Can we test this?  If we can get to the bottom of this ASAP then we have a chance of getting a fix into v6.4.2.,
LUCENE-7682,"For queries requiring t1 near t2 with enough slop, t1 t1 t2 matches twice, but t1 t2 t2 matches only once. This behaviour was introduced with the lazy iteration, see: https://issues.apache.org/jira/browse/LUCENE-6537?focusedCommentId=14579537&page=com.atlassian.jira.plugin.system.issuetabpanels:comment-tabpanel#comment-14579537. This is also a problem for LUCENE-7580 where matching term occurrences are scored: there the second occurrence of t2 will not influence the score because it is never reported as a match. LUCENE-7398 is probably also of interest here. To improve highlighting and scoring, we will probably have to rethink how matches of span queries are reported. One way could be to report all occurrences in the matching window, and forward all the sub-spans to after the matching window. Would that be feasible?",
LUCENE-7682,Should this be marked as a bug for a module other than the highlighter then since it also affects scoring?,
LUCENE-7682,"Michael, don't worry about how you filed it; this happens often – report the bug and then dig deeper and see it's indirectly caused by something else.  Here, it's not clear is LUCENE-7398 or LUCENE-7580 will fix it; I've been following these issues; we'll see.   Paul Elschot I'm glad you noticed this issue; this is in your area of interest",
LUCENE-7683,I think it would make sense to make Scorer.getWeight final and FilterScorer delegate getChildren.,
LUCENE-7685,Here is a patch.,
LUCENE-7685,"What on earth did this comment mean? This makes rewritten query equal the original, so that user does not have to .rewrite() their query before searching. Why would a user have to (in the past) manually rewrite their query before searching .",
LUCENE-7687,This reads to me as the underlying issue of whether ComplexPhrase query parser uses underlying (automatically-constructed) MultiTerm analysis chain (and takes into account multiterm-ready ascii folding filter) or does its own expansion using pure tokens.,
LUCENE-7690,I'll dig; looks related to LUCENE-7662.,
LUCENE-7690,Thanks Steve Rowe!,
LUCENE-7695,"This would have been better discussed on the mailing list first, I feel. I suspect what might be happening here is that one of the terms is hitting synonym expansion and perhaps that is not supported. This is strengthened by the fact that the words in the exception do not match the word you gave triggering it. So, I would check the type definition, synonym file it uses and the synonyms in there. If I am right, the bigger question then is whether ComplexPhraseQueryParser is expected to support synonyms. If yes, then that would be the actual issue here.",
LUCENE-7695,"CPQP transforms only certain queries to spans. So, the failure is obvious and patches are welcome.",
LUCENE-7695,"Hello Alexandre Rafalovitch, The terms i used in the examples do not have synonyms defined, actually, the synonym file is so far still empty. About the words not matching, you are right, i copy/pasted another exception, i was looking for words and word combinations that do and do not cause trouble. Apologies for the confusion. Thanks, Markus",
LUCENE-7695,"I cannot seem to import stuff from Lucene's analysis module into a unit test that's in Lucene's queryparser module, doesn't work in org.apache.lucene.queryparser.complexPhrase.TestComplexPhraseQuery. Any ideas on how to test it?",
LUCENE-7695,you can try to approach org.apache.lucene.analysis.MockSynonymAnalyzer in TestComplexPhraseQuery,
LUCENE-7695,"Patch for master. I cannot get the unit tests to run (ant keeps hanging here) so i applied a crude fix and tested it via Solr and it works. When processing the SynonymQuery i actually have no idea what it should do with more than 1 term, i think it should rewrite itself again but i am really not sure. Or should it create SpanTermQuery for each term and wrap those in a SpanOrQuery and add that to the list of allSpanClauses?",
LUCENE-7695,"Here's a patch where each Term in the SynonymQuery is wrapped as SpanTermQuery in a SpanOrQuery, which is then added to the allSpanClauses array. If there is just one term in the SynonymQuery, it is added as a SpanTermQuery directly. This seems more appropriate, but don't take my word for it.",
LUCENE-7695,"It seems the top level query can also be a SynonymQuery, at least via Solr. Updated patch to take care of that as well but it seem i broke something as well. It is now no longer possible to embed FuzzyQuery. Won't work anymore. But working with multiple terms on the same position does work now, e.g. KeepWordFilter with stemmed terms. I need to go, but will take a peek later.",
LUCENE-7695,"New patch, all SynonymQuery's are turned into a SpanOrQuery now and it works, as it seems. Haven't got a clue yet why this doesn't work, but have it wrapped in a boolean query does.",
LUCENE-7695,what about LUCENE-7695.patch ?,
LUCENE-7695,"Hello Mikhail Khludnev, your patch works nicely!",
LUCENE-7695,Removed fix/version 6.4.2. Thanks Mikhail!,
LUCENE-7698,This seems to be a regression in Solr 6.4.0. At least a quick test shows correct results in 6.3.0.,
LUCENE-7698,Looks to me like LUCENE-7603 broke this.,
LUCENE-7698,"Hmm, no good, sorry about this ... thank you for reporting this Ere Maijala; I'll try to make a Lucene test case showing this.",
LUCENE-7698,"OK I see what's happening: this filter (CommonGramsQueryFilter) deletes the unigram tokens, but keeps posLength=2 on the bigram tokens, which makes a disconnected graph, and then the query parser does the wrong thing. I think the right fix is for it to set posLength to 1 when it drops unigram tokens .. I'll work on a patch.",
LUCENE-7698,"OK here's a patch fixing CommonGraphsQueryFilter to not create a disconnected graph.  Ere Maijala could you please try this and see if it fixes your use case?  Thanks. I also added an experimental option to QueryBuilder (base class for query parsers) to disable graph handling, as a safety for other tokenizer components that may create disconnected graphs.",
LUCENE-7698,"Michael McCandless, thanks for the fix. An initial check indicates that the patch fixes my use case. I ran the tests in branch_6x. The patch didn't quite apply cleanly to branch_6_4 and after applying manually a test didn't compile.",
LUCENE-7698,OK thanks for confirming Ere Maijala; I'll fix that test on back port.,
LUCENE-7698,Thank you Ere Maijala!,
LUCENE-7704,"Hi Sebastian Yonekura Baeza, actually, this is by design: it is up to you to downcase the rules you add to the SynonymMap.Builder, and then that ignoreCase option will ignore the case of the incoming tokens during analysis. I'm sorry the javadocs were missing (so you would not have known this is by design!!), so I've copied over the javadocs from the old SynonymFilter, and I've fixed your test case to down-case the rules, and now it's passing, in the attached patch.",
LUCENE-7704,"OK I improved the javadocs explaining ignoreCase, and folded in your test case (thank you Sebastian Yonekura Baeza!) here: https://git-wip-us.apache.org/repos/asf?p=lucene-solr.git;a=commitdiff;h=3ad6e41910158a46025ff78330d78a31a7081887",
LUCENE-7704,"Oh, sorry I missed those docs, given that it was a deprecated class I didn't pay much attention to it. Indeed, without the javadocs the parameter ignoreCase was kind of misleading. Thank you Michael McCandless for the clarification!",
LUCENE-7708,"The CJKBigramFilter is working correctly because it sets the position length attribute only if outputUnigrams is set. So only the ShingleFilter is problematic since outputUnigrams is not check when position length is set. So for instance with shingles of size 2, the input ""foo bar baz"" would create two tokens  ""foo bar"" and ""bar baz"" with a pos len of 2 and an position increment in between which forms a disconnected graph. I'll work on a patch shortly.",
LUCENE-7708,"Here is one patch for the ShingleFilter. When outputUnigrams is set to false, position length for a shingle of size N is the number of position created by shingles of smaller size: (N - minShingleSize) + 1. Michael McCandless can you take a look ?",
LUCENE-7708,"agreed to the idea, but some tests are failing with the patch.",
LUCENE-7708,Thanks Steve ! I pushed a new patch that solves the tests failures.,
LUCENE-7708,"I'm beasting 1000 iterations of TestRandomChains with the patch, and run 110 found the following reproducing seed - maybe it's ShingleFilter's fault?  (I didn't investigate further). this seed fails on unpatched master, so the patch on this issue isn't to blame.  I created a separate issue: LUCENE-7711",
LUCENE-7708,"Agreed, thanks Jim Ferenczi!",
LUCENE-7708,"Agreed, LGTM, all lucene/analysis/common/ tests pass for me with the latest patch. Also, 1000 beasting iterations of TestRandomChains didn't trigger any failures with this patch (other than the unrelated one at LUCENE-7711).",
LUCENE-7708,Thanks Steve Rowe and Michael McCandless !,
LUCENE-7708,"There's no fix version here.  CHANGES.txt says it's in 6.5.0. (looking for possible causes of a shingle filter problem confirmed in Solr 6.3 and 6.4, this couldn't be the cause)",
LUCENE-7708,Shawn Heisey one shingle filter problem is fixed in LUCENE-7708 and appears in 6.3 when the support for graph analysis has been added to the QueryBuilder. The other shingle filter problem I can think of is when the number of paths is gigantic and produces an OOM. I opened LUCENE-7747 to fix this. Although I think that the workaround for now is to be disable graph query analysis when the analyzer contains a shingle filter that produces shingles of different size. The graph analysis in this case builds all possible path since each position has different side paths.,
LUCENE-7708,"Jim Ferenczi what we do after committing/all-done is ""Resolve"" the issue (not ""Close"").  That dialog box will give you the option to set the fix-version.  Later on during the release process, there should be a JIRA step that involves bulk-closing all issues resolved for this version.",
LUCENE-7708,Thanks David Smiley. I updated the status.,
LUCENE-7708,"Looks like 6.5.0 isn't a valid version yet.  Easy enough to add, but if I do so, would I be doing the right thing?",
LUCENE-7708,"Looks like 6.5.0 isn't a valid version yet. Easy enough to add, but if I do so, would I be doing the right thing? I see Jim already set the version to 6.5, but FYI Shawn Heisey, historically people have excluded the trailing "".0"" in minor release labels here on JIRA.",
LUCENE-7711,"Another reproducing failure on branch_7_0, from my Jenkins",
LUCENE-7715,"I  haven't tried the patch, but I don't see how it deals with the initial state that all sub spans have a start position of -1. In master currently, nextStartPosition iterates over the pq until the start position of the top element is greater than -1, but I don't see that logic in your patch. There is a startDocument method but if I am not mistaken it is only called from two-phase iteration, so if NearSpansUnordered are consumed directly, that would work, but not if they are nested within other spans? (I'm not very familiar with spans so I could easily miss something.)",
LUCENE-7715,"how it deals with the initial state that all sub spans have a start position of -1. There is no need for that, the intermediate data structure is a priority queue that is not a Spans itself. If the names of this priority queue (SpanTotalLengthEndPositionWindow) and its methods (startDocument/nextPosition) are misleading, they need to be improved. The core search tests and precommit pass.",
